name                    ,time,value,rate,unit,path
RootDryWeightProfile_00-10        ,0,0,NA,g,//soil
RootDryWeightProfile_00-10        ,1,0.00676735,NA,g,//soil
RootDryWeightProfile_00-10        ,2,0.01544208,NA,g,//soil
RootDryWeightProfile_00-10        ,3,0.02432256,NA,g,//soil
RootDryWeightProfile_00-10        ,4,0.03540571,NA,g,//soil
RootDryWeightProfile_00-10        ,5,0.040607,NA,g,//soil
RootDryWeightProfile_00-10        ,6,0.0407617,NA,g,//soil
RootDryWeightProfile_00-10        ,7,0.0414104,NA,g,//soil
RootDryWeightProfile_00-10        ,8,0.04355293,NA,g,//soil
RootDryWeightProfile_00-10        ,9,0.04714623,NA,g,//soil
RootDryWeightProfile_00-10        ,10,0.05451633,NA,g,//soil
RootDryWeightProfile_00-10        ,11,0.07072144,NA,g,//soil
RootDryWeightProfile_00-10        ,12,0.10034175,NA,g,//soil
RootDryWeightProfile_00-10        ,13,0.14320529,NA,g,//soil
RootDryWeightProfile_00-10        ,14,0.18832113,NA,g,//soil
RootDryWeightProfile_00-10        ,15,0.20733384,NA,g,//soil
RootDryWeightProfile_00-10        ,16,0.21386212,NA,g,//soil
RootDryWeightProfile_00-10        ,17,0.21871642,NA,g,//soil
RootDryWeightProfile_00-10        ,18,0.22569602,NA,g,//soil
RootDryWeightProfile_00-10        ,19,0.23831607,NA,g,//soil
RootDryWeightProfile_00-10        ,20,0.25733142,NA,g,//soil
RootDryWeightProfile_00-10        ,21,0.28674887,NA,g,//soil
RootDryWeightProfile_00-10        ,22,0.31621736,NA,g,//soil
RootDryWeightProfile_00-10        ,23,0.35127569,NA,g,//soil
RootDryWeightProfile_00-10        ,24,0.40662108,NA,g,//soil
RootDryWeightProfile_00-10        ,25,0.46290854,NA,g,//soil
RootDryWeightProfile_00-10        ,26,0.50170502,NA,g,//soil
RootDryWeightProfile_00-10        ,27,0.54439071,NA,g,//soil
RootDryWeightProfile_00-10        ,28,0.60126976,NA,g,//soil
RootDryWeightProfile_00-10        ,29,0.64440686,NA,g,//soil
RootDryWeightProfile_00-10        ,30,0.65246223,NA,g,//soil
RootDryWeightProfile_00-10        ,31,0.65743907,NA,g,//soil
RootDryWeightProfile_00-10        ,32,0.6624794,NA,g,//soil
RootDryWeightProfile_00-10        ,33,0.66759379,NA,g,//soil
RootDryWeightProfile_10-20        ,0,0,NA,g,//soil
RootDryWeightProfile_10-20        ,1,0,NA,g,//soil
RootDryWeightProfile_10-20        ,2,0,NA,g,//soil
RootDryWeightProfile_10-20        ,3,0.00207539,NA,g,//soil
RootDryWeightProfile_10-20        ,4,0.00416116,NA,g,//soil
RootDryWeightProfile_10-20        ,5,0.01119554,NA,g,//soil
RootDryWeightProfile_10-20        ,6,0.02066003,NA,g,//soil
RootDryWeightProfile_10-20        ,7,0.02964733,NA,g,//soil
RootDryWeightProfile_10-20        ,8,0.0317377,NA,g,//soil
RootDryWeightProfile_10-20        ,9,0.03431649,NA,g,//soil
RootDryWeightProfile_10-20        ,10,0.04007684,NA,g,//soil
RootDryWeightProfile_10-20        ,11,0.04958702,NA,g,//soil
RootDryWeightProfile_10-20        ,12,0.06299236,NA,g,//soil
RootDryWeightProfile_10-20        ,13,0.08072227,NA,g,//soil
RootDryWeightProfile_10-20        ,14,0.11020149,NA,g,//soil
RootDryWeightProfile_10-20        ,15,0.17267617,NA,g,//soil
RootDryWeightProfile_10-20        ,16,0.24660331,NA,g,//soil
RootDryWeightProfile_10-20        ,17,0.31061757,NA,g,//soil
RootDryWeightProfile_10-20        ,18,0.35202542,NA,g,//soil
RootDryWeightProfile_10-20        ,19,0.37451951,NA,g,//soil
RootDryWeightProfile_10-20        ,20,0.38737392,NA,g,//soil
RootDryWeightProfile_10-20        ,21,0.39344354,NA,g,//soil
RootDryWeightProfile_10-20        ,22,0.41528885,NA,g,//soil
RootDryWeightProfile_10-20        ,23,0.45371065,NA,g,//soil
RootDryWeightProfile_10-20        ,24,0.48722204,NA,g,//soil
RootDryWeightProfile_10-20        ,25,0.53050379,NA,g,//soil
RootDryWeightProfile_10-20        ,26,0.60100297,NA,g,//soil
RootDryWeightProfile_10-20        ,27,0.66647555,NA,g,//soil
RootDryWeightProfile_10-20        ,28,0.71247301,NA,g,//soil
RootDryWeightProfile_10-20        ,29,0.76195973,NA,g,//soil
RootDryWeightProfile_10-20        ,30,0.84541956,NA,g,//soil
RootDryWeightProfile_10-20        ,31,0.9205636,NA,g,//soil
RootDryWeightProfile_10-20        ,32,0.96575898,NA,g,//soil
RootDryWeightProfile_10-20        ,33,0.98472442,NA,g,//soil
RootDryWeightProfile_20-30        ,0,0,NA,g,//soil
RootDryWeightProfile_20-30        ,1,0,NA,g,//soil
RootDryWeightProfile_20-30        ,2,0,NA,g,//soil
RootDryWeightProfile_20-30        ,3,0,NA,g,//soil
RootDryWeightProfile_20-30        ,4,0,NA,g,//soil
RootDryWeightProfile_20-30        ,5,0.00042072,NA,g,//soil
RootDryWeightProfile_20-30        ,6,0.0025398,NA,g,//soil
RootDryWeightProfile_20-30        ,7,0.00536369,NA,g,//soil
RootDryWeightProfile_20-30        ,8,0.01447071,NA,g,//soil
RootDryWeightProfile_20-30        ,9,0.02413974,NA,g,//soil
RootDryWeightProfile_20-30        ,10,0.03043646,NA,g,//soil
RootDryWeightProfile_20-30        ,11,0.0321687,NA,g,//soil
RootDryWeightProfile_20-30        ,12,0.03612406,NA,g,//soil
RootDryWeightProfile_20-30        ,13,0.04378975,NA,g,//soil
RootDryWeightProfile_20-30        ,14,0.05543577,NA,g,//soil
RootDryWeightProfile_20-30        ,15,0.07130156,NA,g,//soil
RootDryWeightProfile_20-30        ,16,0.09165838,NA,g,//soil
RootDryWeightProfile_20-30        ,17,0.1241418,NA,g,//soil
RootDryWeightProfile_20-30        ,18,0.17657546,NA,g,//soil
RootDryWeightProfile_20-30        ,19,0.24187354,NA,g,//soil
RootDryWeightProfile_20-30        ,20,0.29627022,NA,g,//soil
RootDryWeightProfile_20-30        ,21,0.33958495,NA,g,//soil
RootDryWeightProfile_20-30        ,22,0.36522396,NA,g,//soil
